mnemonic,description
GBADAFCD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Noncash, Euros"
GBAAFD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Noncash, National Currency"
GBAAFD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Domestic, Noncash, US Dollars"
GBAAFFD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFFD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFFD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFFD_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFFD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFFD_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFFD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFFD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFFD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFF_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFF_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFF_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFM_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFM_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFM_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFM_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFM_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFM_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GBADAFM_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFF_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Noncash, Euros"
GBAAFF_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Noncash, National Currency"
GBAAFF_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Foreign, Noncash, US Dollars"
GBAAFIR_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFIR_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFIR_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFIR_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFIR_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFIR_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFIR_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFIR_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFIR_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFLS_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFLS_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFLS_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFLS_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFLS_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFLS_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFLS_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFLS_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFLS_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFO_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFO_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFO_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFO_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFO_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFO_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFSO_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFSO_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFSO_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFSO_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFSO_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFSO_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFSO_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFSO_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFSO_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAFAE_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAFAE_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAFAE_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAFAE_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAFAE_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAFAE_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFAE_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADAFAE_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADAFAE_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAL_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, Euros"
GBAL_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GBAL_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, US Dollars"
GBAL_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAL_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAL_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADL_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADL_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADL_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GBADL_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADL_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADL_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALCD_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Cash, US Dollars"
GBALCD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALCD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALCD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLCD_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLCD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLCD_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLCD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLCD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLCD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLD_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLD_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Noncash, Euros"
GBALD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Noncash, National Currency"
GBALD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Domestic, Noncash, US Dollars"
GBALFD_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Cash, US Dollars"
GBALFD_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALFD_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALFD_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLFD_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLFD_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLFD_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLFD_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLFD_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLFD_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLF_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLF_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLF_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLF_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLF_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALF_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Noncash, Euros"
GBALF_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Noncash, National Currency"
GBALF_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Foreign, Noncash, US Dollars"
